marks,stream,interest,exam,college
96,Science,Engineering,JEE,Top IIT/NIT
83,Science,Medical,NEET,Government Medical College
87,Science,Computer Science,JEE,Engineering College
70,Science,Biology,NEET,Private Medical College
92,Science,Architecture,JEE,Architecture College
76,Commerce,Business,CAT,Business School
74,Commerce,Finance,CA,CA Coaching Institute
73,Commerce,Management,CAT,Business School
66,Commerce,Accounting,CA,Commerce College
80,Commerce,Economics,CUET,Economics College
70,Arts,Law,CLAT,Law University
53,Arts,Design,NIFT,Design Institute
62,Arts,Mass Media,CUET,Mass Media College
47,Arts,Psychology,CUET,Psychology College
51,Arts,Fine Arts,NIFT,Fine Arts College
67,Arts,Hotel Management,NCHMCT,Hotel Management College
76,Science,Pharmacy,GPAT,Pharmacy College
60,Commerce,Hotel Management,NCHMCT,Hotel Management College
91,Science,Engineering,JEE,Top IIT/NIT
84,Science,Medical,NEET,Government Medical College
75,Science,Computer Science,JEE,Engineering College
71,Science,Biology,NEET,Private Medical College
94,Science,Architecture,JEE,Architecture College
81,Commerce,Business,CAT,Business School
73,Commerce,Finance,CA,CA Coaching Institute
71,Commerce,Management,CAT,Business School
70,Commerce,Accounting,CA,Commerce College
80,Commerce,Economics,CUET,Economics College
69,Arts,Law,CLAT,Law University
65,Arts,Design,CAT,Design Institute
69,Arts,Mass Media,CUET,Mass Media College
59,Arts,Psychology,CUET,Psychology College
68,Arts,Fine Arts,NIFT,Fine Arts College
71,Arts,Hotel Management,NCHMCT,Hotel Management College
71,Science,Pharmacy,GPAT,Pharmacy College
57,Commerce,Hotel Management,NCHMCT,Hotel Management College
94,Science,Engineering,JEE,Top IIT/NIT
82,Science,Medical,NEET,Government Medical College
81,Science,Computer Science,JEE,Engineering College
64,Science,Biology,NEET,Private Medical College
93,Science,Architecture,JEE,Architecture College
76,Commerce,Business,CAT,Business School
66,Commerce,Finance,CA,CA Coaching Institute
58,Commerce,Management,CAT,Business School
68,Commerce,Accounting,CUET,Commerce College
81,Commerce,Economics,CUET,Economics College
73,Arts,Law,CLAT,Law University
67,Arts,Design,NIFT,Design Institute
63,Arts,Mass Media,CUET,Mass Media College
46,Arts,Psychology,NEET,Psychology College
64,Arts,Fine Arts,NIFT,Fine Arts College
71,Arts,Hotel Management,NIFT,Hotel Management College
71,Science,Pharmacy,GPAT,Pharmacy College
66,Commerce,Hotel Management,NCHMCT,Hotel Management College
97,Science,Engineering,JEE,Top IIT/NIT
82,Science,Medical,NEET,Government Medical College
88,Science,Computer Science,JEE,Engineering College
60,Science,Biology,CLAT,Private Medical College
88,Science,Architecture,JEE,Architecture College
87,Commerce,Business,CAT,Business School
72,Commerce,Finance,CA,CA Coaching Institute
58,Commerce,Management,CAT,Business School
61,Commerce,Accounting,CA,Commerce College
83,Commerce,Economics,CUET,Economics College
65,Arts,Law,CUET,Law University
59,Arts,Design,CUET,Design Institute
58,Arts,Mass Media,CUET,Mass Media College
62,Arts,Psychology,CUET,Psychology College
61,Arts,Fine Arts,NIFT,Fine Arts College
61,Arts,Hotel Management,NCHMCT,Hotel Management College
74,Science,Pharmacy,GPAT,Pharmacy College
58,Commerce,Hotel Management,NCHMCT,Hotel Management College
97,Science,Engineering,JEE,Top IIT/NIT
86,Science,Medical,NEET,Government Medical College
86,Science,Computer Science,JEE,Engineering College
68,Science,Biology,NEET,Private Medical College
92,Science,Architecture,JEE,Architecture College
85,Commerce,Business,CAT,Business School
77,Commerce,Finance,CA,CA Coaching Institute
72,Commerce,Management,CAT,Business School
64,Commerce,Accounting,CA,Commerce College
77,Commerce,Economics,CUET,Economics College
72,Arts,Law,CLAT,Law University
58,Arts,Design,NIFT,Design Institute
69,Arts,Mass Media,CUET,Mass Media College
57,Arts,Psychology,CUET,Psychology College
50,Arts,Fine Arts,NIFT,Fine Arts College
68,Arts,Hotel Management,NCHMCT,Hotel Management College
71,Science,Pharmacy,GPAT,Pharmacy College
63,Commerce,Hotel Management,NCHMCT,Hotel Management College
97,Science,Engineering,NCHMCT,Top IIT/NIT
80,Science,Medical,NEET,Government Medical College
86,Science,Computer Science,JEE,Engineering College
67,Science,Biology,NEET,Private Medical College
92,Science,Architecture,JEE,Architecture College
80,Commerce,Business,CAT,Business School
67,Commerce,Finance,CA,CA Coaching Institute
71,Commerce,Management,CAT,Business School
67,Commerce,Accounting,CA,Commerce College
72,Commerce,Economics,CUET,Economics College
62,Arts,Law,CLAT,Law University
50,Arts,Design,NIFT,Design Institute
59,Arts,Mass Media,CUET,Mass Media College
54,Arts,Psychology,CUET,Psychology College
56,Arts,Fine Arts,GPAT,Fine Arts College
69,Arts,Hotel Management,NCHMCT,Hotel Management College
73,Science,Pharmacy,GPAT,Pharmacy College
61,Commerce,Hotel Management,NCHMCT,Hotel Management College
98,Science,Engineering,JEE,Top IIT/NIT
87,Science,Medical,NEET,Government Medical College
86,Science,Computer Science,JEE,Engineering College
61,Science,Biology,NEET,Private Medical College
85,Science,Architecture,JEE,Architecture College
85,Commerce,Business,CAT,Business School
71,Commerce,Finance,CA,CA Coaching Institute
59,Commerce,Management,CAT,Business School
62,Commerce,Accounting,CA,Commerce College
81,Commerce,Economics,CUET,Economics College
67,Arts,Law,CLAT,Law University
52,Arts,Design,NIFT,Design Institute
55,Arts,Mass Media,CUET,Mass Media College
47,Arts,Psychology,CUET,Psychology College
54,Arts,Fine Arts,NIFT,Fine Arts College
73,Arts,Hotel Management,GPAT,Hotel Management College
67,Science,Pharmacy,GPAT,Pharmacy College
55,Commerce,Hotel Management,NCHMCT,Hotel Management College
94,Science,Engineering,JEE,Top IIT/NIT
86,Science,Medical,NEET,Government Medical College
88,Science,Computer Science,JEE,Engineering College
66,Science,Biology,NEET,Private Medical College
93,Science,Architecture,JEE,Architecture College
84,Commerce,Business,CAT,Business School
74,Commerce,Finance,CA,CA Coaching Institute
64,Commerce,Management,CAT,Business School
71,Commerce,Accounting,CA,Commerce College
82,Commerce,Economics,CUET,Economics College
78,Arts,Law,CLAT,Law University
56,Arts,Design,NIFT,Design Institute
71,Arts,Mass Media,CUET,Mass Media College
